Copyright 1986-2020 Xilinx, Inc. All Rights Reserved.
--------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2020.2 (lin64) Build 3064766 Wed Nov 18 09:12:47 MST 2020
| Date         : Mon Oct 11 16:40:53 2021
| Host         : parallels-Parallels-Virtual-Platform running 64-bit Ubuntu 20.04.3 LTS
| Command      : report_utilization -hierarchical -file /home/parallels/Desktop/PicoRV/ENGG4811_code/demo/utilisation/unicast/unicast_8.txt
| Design       : board_top
| Device       : 7a100tcsg324-1
| Design State : Routed
--------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+---------------------------------------------------------------------------------------------+--------------------------------------+------------+------------+---------+------+------+--------+--------+------------+
|                                           Instance                                          |                Module                | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs | RAMB36 | RAMB18 | DSP Blocks |
|           os_clk_divider_i                                                                  |                         UART_CLK_DIV |          4 |          4 |       0 |    0 |    6 |      0 |      0 |          0 |
|           uart_tx_i                                                                         |                              UART_TX |         44 |         44 |       0 |    0 |   14 |      0 |      0 |          0 |
|             (uart_tx_i)                                                                     |                              UART_TX |         36 |         36 |       0 |    0 |    9 |      0 |      0 |          0 |
|             tx_clk_divider_i                                                                |         UART_CLK_DIV__parameterized3 |          8 |          8 |       0 |    0 |    5 |      0 |      0 |          0 |
|       FOX_NODE_INITIALISE                                                                   |                             fox_node |       3224 |       2040 |    1184 |    0 | 1326 |      0 |      0 |          4 |
|         ENCODER                                                                             |                   message_encoder_18 |          2 |          2 |       0 |    0 |   56 |      0 |      0 |          0 |
|         NIC                                                                                 |                             nic_dual |        231 |        119 |     112 |    0 |  192 |      0 |      0 |          0 |
|           (NIC)                                                                             |                             nic_dual |          0 |          0 |       0 |    0 |  112 |      0 |      0 |          0 |
|           NETWORK_TO_PE_FIFO                                                                |    fifo_sync_wrapper__parameterized1 |        134 |         62 |      72 |    0 |   44 |      0 |      0 |          0 |
|             UNINITIALISED_FIFO_GEN.UNINITIALISED_FIFO                                       |            fifo_sync__parameterized1 |        134 |         62 |      72 |    0 |   44 |      0 |      0 |          0 |
|           PE_TO_NETWORK_FIFO                                                                |                 fifo_sync_wrapper_20 |         97 |         57 |      40 |    0 |   36 |      0 |      0 |          0 |
|             UNINITIALISED_FIFO_GEN.UNINITIALISED_FIFO                                       |                         fifo_sync_21 |         97 |         57 |      40 |    0 |   36 |      0 |      0 |          0 |
|         PE                                                                                  |                               system |       2888 |       1816 |    1072 |    0 |  907 |      0 |      0 |          4 |
|           (PE)                                                                              |                               system |       1046 |         22 |    1024 |    0 |  108 |      0 |      0 |          0 |
|           picorv32_core                                                                     |                             picorv32 |       1842 |       1794 |      48 |    0 |  799 |      0 |      0 |          4 |
|             (picorv32_core)                                                                 |                             picorv32 |       1263 |       1215 |      48 |    0 |  562 |      0 |      0 |          0 |
|             pcpi_div                                                                        |                    picorv32_pcpi_div |        375 |        375 |       0 |    0 |  200 |      0 |      0 |          0 |
|             pcpi_mul                                                                        |            picorv32_pcpi_fast_mul_19 |        211 |        211 |       0 |    0 |   37 |      0 |      0 |          4 |
|         ROUTER                                                                              |                       hoplite_router |        105 |        105 |       0 |    0 |  171 |      0 |      0 |          0 |
|     NETWORK_ROW_GEN[0].NETWORK_COL_GEN[1].FOX_NETWORK_GEN.FOX_GEN.FOX_NODE_INITIALISE       |             fox_node__parameterized1 |       2879 |       1727 |    1152 |    0 | 1121 |      0 |      0 |          4 |
|       ENCODER                                                                               |                   message_encoder_10 |          2 |          2 |       0 |    0 |   56 |      0 |      0 |          0 |
|       NIC                                                                                   |          nic_dual__parameterized1_11 |        191 |        111 |      80 |    0 |  193 |      0 |      0 |          0 |
|         (NIC)                                                                               |          nic_dual__parameterized1_11 |          0 |          0 |       0 |    0 |  115 |      0 |      0 |          0 |
|         NETWORK_TO_PE_FIFO                                                                  | fifo_sync_wrapper__parameterized4_14 |         95 |         55 |      40 |    0 |   42 |      0 |      0 |          0 |
|           UNINITIALISED_FIFO_GEN.UNINITIALISED_FIFO                                         |         fifo_sync__parameterized5_17 |         95 |         55 |      40 |    0 |   42 |      0 |      0 |          0 |
|         PE_TO_NETWORK_FIFO                                                                  |                 fifo_sync_wrapper_15 |         96 |         56 |      40 |    0 |   36 |      0 |      0 |          0 |
|           UNINITIALISED_FIFO_GEN.UNINITIALISED_FIFO                                         |                         fifo_sync_16 |         96 |         56 |      40 |    0 |   36 |      0 |      0 |          0 |
|       PE                                                                                    |               system__parameterized1 |       2547 |       1475 |    1072 |    0 |  698 |      0 |      0 |          4 |
|         (PE)                                                                                |               system__parameterized1 |       1045 |         21 |    1024 |    0 |   99 |      0 |      0 |          0 |
|         picorv32_core                                                                       |          picorv32__parameterized0_12 |       1503 |       1455 |      48 |    0 |  599 |      0 |      0 |          4 |
|           (picorv32_core)                                                                   |          picorv32__parameterized0_12 |       1283 |       1235 |      48 |    0 |  562 |      0 |      0 |          0 |
|           pcpi_mul                                                                          |            picorv32_pcpi_fast_mul_13 |        226 |        226 |       0 |    0 |   37 |      0 |      0 |          4 |
|       ROUTER                                                                                |       hoplite_router__parameterized1 |        140 |        140 |       0 |    0 |  174 |      0 |      0 |          0 |
|     NETWORK_ROW_GEN[1].NETWORK_COL_GEN[0].FOX_NETWORK_GEN.FOX_GEN.FOX_NODE_INITIALISE       |             fox_node__parameterized3 |       2757 |       1685 |    1072 |    0 | 1122 |      0 |      0 |          4 |
|       ENCODER                                                                               |                    message_encoder_2 |          2 |          2 |       0 |    0 |   56 |      0 |      0 |          0 |
|       NIC                                                                                   |           nic_dual__parameterized1_3 |         99 |         99 |       0 |    0 |  193 |      0 |      0 |          0 |
|         (NIC)                                                                               |           nic_dual__parameterized1_3 |          0 |          0 |       0 |    0 |  115 |      0 |      0 |          0 |
|         NETWORK_TO_PE_FIFO                                                                  |  fifo_sync_wrapper__parameterized4_6 |         51 |         51 |       0 |    0 |   42 |      0 |      0 |          0 |
|           UNINITIALISED_FIFO_GEN.UNINITIALISED_FIFO                                         |          fifo_sync__parameterized5_9 |         51 |         51 |       0 |    0 |   42 |      0 |      0 |          0 |
|         PE_TO_NETWORK_FIFO                                                                  |                  fifo_sync_wrapper_7 |         48 |         48 |       0 |    0 |   36 |      0 |      0 |          0 |
|           UNINITIALISED_FIFO_GEN.UNINITIALISED_FIFO                                         |                          fifo_sync_8 |         48 |         48 |       0 |    0 |   36 |      0 |      0 |          0 |
|       PE                                                                                    |               system__parameterized3 |       2515 |       1443 |    1072 |    0 |  698 |      0 |      0 |          4 |
|         (PE)                                                                                |               system__parameterized3 |       1043 |         19 |    1024 |    0 |   99 |      0 |      0 |          0 |
|         picorv32_core                                                                       |           picorv32__parameterized0_4 |       1472 |       1424 |      48 |    0 |  599 |      0 |      0 |          4 |
|           (picorv32_core)                                                                   |           picorv32__parameterized0_4 |       1252 |       1204 |      48 |    0 |  562 |      0 |      0 |          0 |
|           pcpi_mul                                                                          |             picorv32_pcpi_fast_mul_5 |        226 |        226 |       0 |    0 |   37 |      0 |      0 |          4 |
|       ROUTER                                                                                |       hoplite_router__parameterized3 |        141 |        141 |       0 |    0 |  175 |      0 |      0 |          0 |
|     NETWORK_ROW_GEN[1].NETWORK_COL_GEN[1].FOX_NETWORK_GEN.FOX_GEN.FOX_NODE_INITIALISE       |             fox_node__parameterized5 |       2778 |       1706 |    1072 |    0 | 1122 |      0 |      0 |          4 |
|       ENCODER                                                                               |                      message_encoder |          2 |          2 |       0 |    0 |   56 |      0 |      0 |          0 |
|       NIC                                                                                   |             nic_dual__parameterized1 |         99 |         99 |       0 |    0 |  193 |      0 |      0 |          0 |
|         (NIC)                                                                               |             nic_dual__parameterized1 |          0 |          0 |       0 |    0 |  115 |      0 |      0 |          0 |
|         NETWORK_TO_PE_FIFO                                                                  |    fifo_sync_wrapper__parameterized4 |         51 |         51 |       0 |    0 |   42 |      0 |      0 |          0 |
|           UNINITIALISED_FIFO_GEN.UNINITIALISED_FIFO                                         |            fifo_sync__parameterized5 |         51 |         51 |       0 |    0 |   42 |      0 |      0 |          0 |
|         PE_TO_NETWORK_FIFO                                                                  |                  fifo_sync_wrapper_0 |         48 |         48 |       0 |    0 |   36 |      0 |      0 |          0 |
|           UNINITIALISED_FIFO_GEN.UNINITIALISED_FIFO                                         |                          fifo_sync_1 |         48 |         48 |       0 |    0 |   36 |      0 |      0 |          0 |
|       PE                                                                                    |               system__parameterized5 |       2521 |       1449 |    1072 |    0 |  698 |      0 |      0 |          4 |
|         (PE)                                                                                |               system__parameterized5 |       1043 |         19 |    1024 |    0 |   99 |      0 |      0 |          0 |
|         picorv32_core                                                                       |             picorv32__parameterized0 |       1478 |       1430 |      48 |    0 |  599 |      0 |      0 |          4 |
|           (picorv32_core)                                                                   |             picorv32__parameterized0 |       1257 |       1209 |      48 |    0 |  562 |      0 |      0 |          0 |
|           pcpi_mul                                                                          |               picorv32_pcpi_fast_mul |        226 |        226 |       0 |    0 |   37 |      0 |      0 |          4 |
|       ROUTER                                                                                |       hoplite_router__parameterized5 |        156 |        156 |       0 |    0 |  175 |      0 |      0 |          0 |
|     NETWORK_ROW_GEN[2].NETWORK_COL_GEN[0].PERIPHERAL_NODE_GEN.ROM_GEN.ROM                   |                             rom_node |        255 |        219 |      36 |    0 |  280 |      0 |      0 |          0 |
|       BURST_ROM                                                                             |                            ROM_burst |         48 |         48 |       0 |    0 |   80 |      0 |      0 |          0 |
|         (BURST_ROM)                                                                         |                            ROM_burst |         42 |         42 |       0 |    0 |   70 |      0 |      0 |          0 |
|         ROM_MEMORY                                                                          |                                  rom |          6 |          6 |       0 |    0 |   10 |      0 |      0 |          0 |
|       NIC                                                                                   |             nic_dual__parameterized3 |        137 |        101 |      36 |    0 |  105 |      0 |      0 |          0 |
|         (NIC)                                                                               |             nic_dual__parameterized3 |          0 |          0 |       0 |    0 |   31 |      0 |      0 |          0 |
|         NETWORK_TO_PE_FIFO                                                                  |                    fifo_sync_wrapper |         68 |         52 |      16 |    0 |   36 |      0 |      0 |          0 |
|           UNINITIALISED_FIFO_GEN.UNINITIALISED_FIFO                                         |                            fifo_sync |         68 |         52 |      16 |    0 |   36 |      0 |      0 |          0 |
|         PE_TO_NETWORK_FIFO                                                                  |    fifo_sync_wrapper__parameterized6 |         69 |         49 |      20 |    0 |   38 |      0 |      0 |          0 |
|           UNINITIALISED_FIFO_GEN.UNINITIALISED_FIFO                                         |            fifo_sync__parameterized7 |         69 |         49 |      20 |    0 |   38 |      0 |      0 |          0 |
|       ROUTER                                                                                |       hoplite_router__parameterized7 |         71 |         71 |       0 |    0 |   95 |      0 |      0 |          0 |
|     NETWORK_ROW_GEN[2].NETWORK_COL_GEN[1].PERIPHERAL_NODE_GEN.ROUTER_GEN.ROUTER             |       hoplite_router__parameterized9 |         13 |         13 |       0 |    0 |   75 |      0 |      0 |          0 |
+---------------------------------------------------------------------------------------------+--------------------------------------+------------+------------+---------+------+------+--------+--------+------------+
* Note: The sum of lower-level cells may be larger than their parent cells total, due to cross-hierarchy LUT combining


